pk_time_id,time,hour,minute,shift_type
238,22:55:24,22,55,Evening
239,19:01:55,19,1,Evening
240,06:32:04,6,32,Morning
241,01:57:45,1,57,Morning
242,10:28:04,10,28,Morning
243,16:21:16,16,21,Afternoon
244,06:35:04,6,35,Morning
245,16:04:17,16,4,Afternoon
246,01:33:42,1,33,Morning
247,23:16:37,23,16,Evening
248,22:02:12,22,2,Evening
249,18:23:21,18,23,Evening
250,09:04:54,9,4,Morning
251,06:23:15,6,23,Morning
252,22:15:41,22,15,Evening
253,02:20:19,2,20,Morning
254,13:19:12,13,19,Afternoon
255,13:34:37,13,34,Afternoon
256,10:21:16,10,21,Morning
257,18:20:55,18,20,Evening
258,15:10:15,15,10,Afternoon
259,02:55:14,2,55,Morning
260,13:10:56,13,10,Afternoon
261,02:00:33,2,0,Morning
262,00:18:22,0,18,Morning
263,12:58:35,12,58,Afternoon
264,11:32:28,11,32,Morning
265,20:01:30,20,1,Evening
266,11:46:07,11,46,Morning
267,19:33:02,19,33,Evening
268,07:16:45,7,16,Morning
269,07:06:10,7,6,Morning
270,08:24:15,8,24,Morning
271,05:53:02,5,53,Morning
272,10:56:13,10,56,Morning
273,11:56:59,11,56,Morning
274,04:27:23,4,27,Morning
275,12:38:52,12,38,Afternoon
276,02:53:36,2,53,Morning
277,00:56:52,0,56,Morning
278,00:31:15,0,31,Morning
279,10:17:46,10,17,Morning
280,01:35:52,1,35,Morning
281,21:40:25,21,40,Evening
282,00:22:33,0,22,Morning
283,04:04:51,4,4,Morning
284,19:24:07,19,24,Evening
285,13:21:15,13,21,Afternoon
286,02:59:54,2,59,Morning
287,19:01:10,19,1,Evening
288,04:33:26,4,33,Morning
289,21:05:30,21,5,Evening
290,07:27:52,7,27,Morning
291,11:35:08,11,35,Morning
292,05:46:40,5,46,Morning
293,12:03:17,12,3,Afternoon
294,10:31:49,10,31,Morning
295,05:55:52,5,55,Morning
296,04:17:18,4,17,Morning
297,12:29:59,12,29,Afternoon
298,05:08:02,5,8,Morning
299,09:01:11,9,1,Morning
300,13:07:59,13,7,Afternoon
301,03:37:06,3,37,Morning
302,01:30:35,1,30,Morning
303,02:21:33,2,21,Morning
304,20:03:47,20,3,Evening
305,16:28:41,16,28,Afternoon
306,00:46:03,0,46,Morning
307,05:39:49,5,39,Morning
308,17:42:35,17,42,Afternoon
309,09:57:05,9,57,Morning
310,04:42:14,4,42,Morning
311,01:32:54,1,32,Morning
312,00:26:27,0,26,Morning
313,11:53:02,11,53,Morning
314,15:06:52,15,6,Afternoon
315,16:49:21,16,49,Afternoon
316,21:27:04,21,27,Evening
317,01:13:29,1,13,Morning
318,19:48:39,19,48,Evening
319,07:25:51,7,25,Morning
320,17:03:36,17,3,Afternoon
321,03:20:41,3,20,Morning
322,06:27:07,6,27,Morning
323,09:46:41,9,46,Morning
324,22:49:50,22,49,Evening
325,07:19:30,7,19,Morning
326,13:57:11,13,57,Afternoon
327,01:28:42,1,28,Morning
328,18:08:14,18,8,Evening
329,22:04:28,22,4,Evening
330,08:08:19,8,8,Morning
331,19:39:53,19,39,Evening
332,12:55:01,12,55,Afternoon
333,15:52:14,15,52,Afternoon
334,02:42:57,2,42,Morning
335,03:07:29,3,7,Morning
336,05:56:30,5,56,Morning
337,05:39:29,5,39,Morning
338,03:34:41,3,34,Morning
339,02:39:47,2,39,Morning
340,20:38:47,20,38,Evening
341,02:10:33,2,10,Morning
342,13:03:33,13,3,Afternoon
343,04:22:34,4,22,Morning
344,21:41:53,21,41,Evening
345,09:48:02,9,48,Morning
346,10:12:17,10,12,Morning
347,06:42:04,6,42,Morning
348,19:28:22,19,28,Evening
349,00:36:36,0,36,Morning
350,17:05:27,17,5,Afternoon
351,23:43:15,23,43,Evening
352,03:09:05,3,9,Morning
353,09:27:57,9,27,Morning
354,18:26:40,18,26,Evening
355,03:20:55,3,20,Morning
356,23:41:23,23,41,Evening
357,12:21:24,12,21,Afternoon
358,09:56:11,9,56,Morning
359,12:55:40,12,55,Afternoon
360,08:09:37,8,9,Morning
361,13:46:13,13,46,Afternoon
362,11:52:13,11,52,Morning
363,07:09:22,7,9,Morning
364,09:32:12,9,32,Morning
365,01:22:24,1,22,Morning
366,13:33:45,13,33,Afternoon
367,03:51:17,3,51,Morning
368,15:21:23,15,21,Afternoon
369,00:54:18,0,54,Morning
370,08:47:09,8,47,Morning
371,06:22:38,6,22,Morning
372,10:57:45,10,57,Morning
373,23:50:53,23,50,Evening
374,04:22:55,4,22,Morning
375,21:16:15,21,16,Evening
376,09:30:07,9,30,Morning
377,00:00:55,0,0,Morning
378,09:07:53,9,7,Morning
379,22:25:20,22,25,Evening
380,18:23:25,18,23,Evening
381,21:43:19,21,43,Evening
382,07:01:58,7,1,Morning
383,09:22:14,9,22,Morning
384,22:50:27,22,50,Evening
385,05:08:42,5,8,Morning
386,04:24:53,4,24,Morning
387,01:00:32,1,0,Morning
388,10:40:52,10,40,Morning
389,03:41:06,3,41,Morning
390,17:06:47,17,6,Afternoon
391,04:42:20,4,42,Morning
392,06:40:03,6,40,Morning
393,09:40:15,9,40,Morning
394,08:34:29,8,34,Morning
395,13:41:37,13,41,Afternoon
396,22:59:53,22,59,Evening
397,04:38:02,4,38,Morning
398,05:27:02,5,27,Morning
399,02:27:17,2,27,Morning
400,17:50:10,17,50,Afternoon
401,08:08:29,8,8,Morning
402,19:58:38,19,58,Evening
403,05:14:55,5,14,Morning
404,00:06:10,0,6,Morning
405,00:08:06,0,8,Morning
406,21:12:29,21,12,Evening
407,18:00:39,18,0,Evening
408,11:38:36,11,38,Morning
409,02:22:52,2,22,Morning
410,07:50:25,7,50,Morning
411,12:44:13,12,44,Afternoon
412,08:57:55,8,57,Morning
413,20:06:19,20,6,Evening
414,00:18:25,0,18,Morning
415,16:38:16,16,38,Afternoon
416,12:00:09,12,0,Afternoon
417,11:48:07,11,48,Morning
418,05:00:51,5,0,Morning
419,21:30:00,21,30,Evening
420,18:36:01,18,36,Evening
421,16:42:36,16,42,Afternoon
422,15:52:55,15,52,Afternoon
423,01:54:09,1,54,Morning
424,05:16:16,5,16,Morning
425,08:38:33,8,38,Morning
426,04:16:41,4,16,Morning
427,03:34:44,3,34,Morning
428,23:26:00,23,26,Evening
429,09:33:34,9,33,Morning
430,19:51:32,19,51,Evening
431,22:04:24,22,4,Evening
432,20:54:17,20,54,Evening
433,21:18:13,21,18,Evening
434,09:45:35,9,45,Morning
435,20:03:52,20,3,Evening
436,07:44:22,7,44,Morning
437,01:26:30,1,26,Morning
438,19:29:59,19,29,Evening
439,14:29:46,14,29,Afternoon
440,12:24:08,12,24,Afternoon
441,07:55:49,7,55,Morning
442,07:09:21,7,9,Morning
443,00:54:22,0,54,Morning
444,14:14:19,14,14,Afternoon
445,20:09:32,20,9,Evening
446,14:51:12,14,51,Afternoon
447,23:31:07,23,31,Evening
448,01:17:57,1,17,Morning
449,20:25:08,20,25,Evening
450,14:03:37,14,3,Afternoon
451,23:53:49,23,53,Evening
452,05:09:55,5,9,Morning
453,13:02:06,13,2,Afternoon
454,20:54:31,20,54,Evening
455,09:34:17,9,34,Morning
456,11:48:51,11,48,Morning
457,20:21:03,20,21,Evening
458,20:21:40,20,21,Evening
459,17:32:51,17,32,Afternoon
460,12:42:51,12,42,Afternoon
461,18:25:54,18,25,Evening
462,10:21:29,10,21,Morning
463,09:24:52,9,24,Morning
464,19:46:36,19,46,Evening
465,10:40:09,10,40,Morning
466,09:34:30,9,34,Morning
467,06:28:16,6,28,Morning
468,17:08:36,17,8,Afternoon
469,07:19:42,7,19,Morning
470,06:13:39,6,13,Morning
471,22:33:58,22,33,Evening
472,10:54:51,10,54,Morning
473,03:26:37,3,26,Morning
474,16:04:48,16,4,Afternoon
475,17:16:22,17,16,Afternoon
476,07:52:21,7,52,Morning
477,21:00:03,21,0,Evening
478,12:49:04,12,49,Afternoon
479,17:09:32,17,9,Afternoon
480,22:02:40,22,2,Evening
481,03:44:04,3,44,Morning
482,03:02:54,3,2,Morning
483,10:39:43,10,39,Morning
484,00:49:16,0,49,Morning
485,02:14:37,2,14,Morning
486,10:08:10,10,8,Morning
487,15:26:52,15,26,Afternoon
488,10:02:39,10,2,Morning
489,11:01:50,11,1,Morning
490,03:50:06,3,50,Morning
491,21:45:45,21,45,Evening
492,22:19:51,22,19,Evening
493,01:47:38,1,47,Morning
494,09:52:04,9,52,Morning
495,01:54:13,1,54,Morning
496,11:14:37,11,14,Morning
497,08:57:02,8,57,Morning
498,14:30:43,14,30,Afternoon
499,12:40:15,12,40,Afternoon
500,10:54:27,10,54,Morning
501,10:32:21,10,32,Morning
502,23:00:09,23,0,Evening
503,07:02:48,7,2,Morning
504,21:26:26,21,26,Evening
505,08:36:24,8,36,Morning
506,11:39:01,11,39,Morning
507,20:15:18,20,15,Evening
508,14:38:03,14,38,Afternoon
509,00:13:21,0,13,Morning
510,13:19:25,13,19,Afternoon
511,02:46:09,2,46,Morning
512,09:59:29,9,59,Morning
513,22:51:09,22,51,Evening
514,09:00:49,9,0,Morning
515,07:08:25,7,8,Morning
516,16:45:03,16,45,Afternoon
517,07:52:43,7,52,Morning
518,08:32:00,8,32,Morning
519,02:46:12,2,46,Morning
520,10:02:25,10,2,Morning
521,15:37:15,15,37,Afternoon
522,04:07:35,4,7,Morning
523,10:02:49,10,2,Morning
524,12:53:24,12,53,Afternoon
525,15:07:17,15,7,Afternoon
526,07:08:58,7,8,Morning
527,01:52:52,1,52,Morning
528,05:28:51,5,28,Morning
529,02:48:51,2,48,Morning
530,18:25:24,18,25,Evening
531,15:01:37,15,1,Afternoon
532,22:42:00,22,42,Evening
533,00:48:09,0,48,Morning
534,21:01:17,21,1,Evening
535,23:39:52,23,39,Evening
536,21:31:10,21,31,Evening
537,14:20:44,14,20,Afternoon
538,08:54:29,8,54,Morning
539,22:42:21,22,42,Evening
540,07:35:31,7,35,Morning
541,15:31:37,15,31,Afternoon
542,03:52:14,3,52,Morning
543,12:05:16,12,5,Afternoon
544,09:37:09,9,37,Morning
545,13:01:50,13,1,Afternoon
546,05:40:31,5,40,Morning
547,15:45:33,15,45,Afternoon
548,10:33:35,10,33,Morning
549,08:43:05,8,43,Morning
550,10:44:37,10,44,Morning
551,03:33:38,3,33,Morning
552,17:30:01,17,30,Afternoon
553,06:39:37,6,39,Morning
554,13:50:32,13,50,Afternoon
555,11:22:11,11,22,Morning
556,21:54:54,21,54,Evening
557,20:03:24,20,3,Evening
558,02:45:21,2,45,Morning
559,09:42:39,9,42,Morning
560,08:58:48,8,58,Morning
561,20:40:08,20,40,Evening
562,23:32:46,23,32,Evening
563,05:14:07,5,14,Morning
564,15:33:09,15,33,Afternoon
565,19:25:28,19,25,Evening
566,03:45:41,3,45,Morning
567,05:23:01,5,23,Morning
568,06:22:28,6,22,Morning
569,16:24:32,16,24,Afternoon
570,18:46:00,18,46,Evening
571,22:50:49,22,50,Evening
572,00:41:26,0,41,Morning
573,02:48:02,2,48,Morning
574,23:21:45,23,21,Evening
575,01:58:06,1,58,Morning
576,18:50:53,18,50,Evening
577,19:27:07,19,27,Evening
578,04:25:16,4,25,Morning
579,04:14:08,4,14,Morning
580,18:54:07,18,54,Evening
581,06:43:46,6,43,Morning
582,06:57:05,6,57,Morning
583,13:26:20,13,26,Afternoon
584,03:57:54,3,57,Morning
585,15:09:05,15,9,Afternoon
586,04:31:44,4,31,Morning
587,03:08:14,3,8,Morning
588,19:05:11,19,5,Evening
589,02:37:05,2,37,Morning
590,12:29:50,12,29,Afternoon
591,20:29:06,20,29,Evening
592,18:58:15,18,58,Evening
593,05:45:07,5,45,Morning
594,21:45:22,21,45,Evening
595,14:22:00,14,22,Afternoon
596,04:10:37,4,10,Morning
597,18:43:41,18,43,Evening
598,22:44:27,22,44,Evening
599,11:16:52,11,16,Morning
600,03:44:10,3,44,Morning
601,02:38:11,2,38,Morning
602,20:46:44,20,46,Evening
603,07:51:54,7,51,Morning
604,14:24:43,14,24,Afternoon
605,02:46:07,2,46,Morning
606,20:36:03,20,36,Evening
607,10:56:59,10,56,Morning
608,15:35:31,15,35,Afternoon
609,08:01:16,8,1,Morning
610,05:32:51,5,32,Morning
611,17:22:19,17,22,Afternoon
612,13:40:28,13,40,Afternoon
613,20:41:35,20,41,Evening
614,07:51:01,7,51,Morning
615,17:01:00,17,1,Afternoon
616,22:36:11,22,36,Evening
617,23:33:13,23,33,Evening
618,00:55:46,0,55,Morning
619,15:36:16,15,36,Afternoon
620,14:31:40,14,31,Afternoon
621,03:09:00,3,9,Morning
622,09:10:12,9,10,Morning
623,09:49:53,9,49,Morning
624,20:52:13,20,52,Evening
625,07:05:57,7,5,Morning
626,17:50:04,17,50,Afternoon
627,20:21:13,20,21,Evening
628,04:47:56,4,47,Morning
629,02:01:50,2,1,Morning
630,09:46:07,9,46,Morning
631,23:34:40,23,34,Evening
632,02:53:11,2,53,Morning
633,03:01:32,3,1,Morning
634,21:18:53,21,18,Evening
635,21:49:46,21,49,Evening
636,10:02:22,10,2,Morning
637,12:41:19,12,41,Afternoon
638,11:33:35,11,33,Morning
639,13:12:33,13,12,Afternoon
640,21:57:51,21,57,Evening
641,11:23:22,11,23,Morning
642,19:37:38,19,37,Evening
643,02:44:12,2,44,Morning
644,01:29:47,1,29,Morning
645,11:06:34,11,6,Morning
646,09:22:05,9,22,Morning
647,20:11:22,20,11,Evening
648,00:09:20,0,9,Morning
649,00:21:52,0,21,Morning
650,05:03:25,5,3,Morning
651,03:13:15,3,13,Morning
652,05:55:29,5,55,Morning
653,18:56:27,18,56,Evening
654,20:59:02,20,59,Evening
655,09:54:05,9,54,Morning
656,19:20:19,19,20,Evening
657,09:18:33,9,18,Morning
658,02:25:49,2,25,Morning
659,08:33:03,8,33,Morning
660,16:50:45,16,50,Afternoon
661,23:01:01,23,1,Evening
662,14:46:15,14,46,Afternoon
663,23:23:36,23,23,Evening
664,17:25:09,17,25,Afternoon
665,14:06:02,14,6,Afternoon
666,17:50:22,17,50,Afternoon
667,16:12:08,16,12,Afternoon
668,13:02:10,13,2,Afternoon
669,07:41:53,7,41,Morning
670,20:12:03,20,12,Evening
671,09:03:03,9,3,Morning
672,22:12:24,22,12,Evening
673,06:12:49,6,12,Morning
674,13:18:48,13,18,Afternoon
675,05:25:10,5,25,Morning
676,03:22:00,3,22,Morning
677,01:28:15,1,28,Morning
678,05:41:00,5,41,Morning
679,04:09:23,4,9,Morning
680,21:25:16,21,25,Evening
681,07:35:28,7,35,Morning
682,23:30:29,23,30,Evening
683,06:00:05,6,0,Morning
684,12:26:53,12,26,Afternoon
685,13:13:18,13,13,Afternoon
686,16:52:56,16,52,Afternoon
687,20:04:18,20,4,Evening
688,10:15:12,10,15,Morning
689,20:05:02,20,5,Evening
690,17:26:24,17,26,Afternoon
691,13:51:22,13,51,Afternoon
692,05:54:34,5,54,Morning
693,09:33:36,9,33,Morning
694,23:55:48,23,55,Evening
695,08:04:07,8,4,Morning
696,10:18:54,10,18,Morning
697,18:37:22,18,37,Evening
698,14:15:10,14,15,Afternoon
699,03:26:03,3,26,Morning
700,23:39:09,23,39,Evening
701,12:22:43,12,22,Afternoon
702,08:30:28,8,30,Morning
703,19:21:12,19,21,Evening
704,12:50:46,12,50,Afternoon
705,00:46:50,0,46,Morning
706,16:37:40,16,37,Afternoon
707,21:26:39,21,26,Evening
708,19:54:48,19,54,Evening
709,18:12:28,18,12,Evening
710,17:19:23,17,19,Afternoon
711,03:06:02,3,6,Morning
712,20:25:35,20,25,Evening
713,02:00:19,2,0,Morning
714,19:41:04,19,41,Evening
715,01:00:21,1,0,Morning
716,12:20:33,12,20,Afternoon
717,21:20:50,21,20,Evening
718,18:23:08,18,23,Evening
719,15:15:51,15,15,Afternoon
720,22:41:58,22,41,Evening
721,10:09:18,10,9,Morning
722,04:20:59,4,20,Morning
723,09:33:33,9,33,Morning
724,02:53:55,2,53,Morning
725,14:58:31,14,58,Afternoon
726,07:47:47,7,47,Morning
727,19:13:44,19,13,Evening
728,20:20:25,20,20,Evening
729,00:22:59,0,22,Morning
730,07:40:24,7,40,Morning
731,16:02:25,16,2,Afternoon
732,14:23:25,14,23,Afternoon
733,22:03:42,22,3,Evening
734,23:50:43,23,50,Evening
735,06:54:03,6,54,Morning
736,01:38:32,1,38,Morning
737,05:58:34,5,58,Morning
738,15:50:32,15,50,Afternoon
739,07:59:57,7,59,Morning
740,01:47:29,1,47,Morning
741,00:28:45,0,28,Morning
742,22:36:46,22,36,Evening
743,02:35:04,2,35,Morning
744,20:17:38,20,17,Evening
745,19:32:00,19,32,Evening
746,20:50:08,20,50,Evening
747,20:59:51,20,59,Evening
748,03:31:16,3,31,Morning
749,06:59:52,6,59,Morning
750,02:04:06,2,4,Morning
751,01:18:45,1,18,Morning
752,23:46:37,23,46,Evening
753,16:00:32,16,0,Afternoon
754,20:29:01,20,29,Evening
755,04:32:45,4,32,Morning
756,18:16:32,18,16,Evening
757,18:00:57,18,0,Evening
758,04:21:44,4,21,Morning
759,14:02:55,14,2,Afternoon
760,08:18:22,8,18,Morning
761,14:51:57,14,51,Afternoon
762,09:26:52,9,26,Morning
763,03:10:15,3,10,Morning
764,10:58:54,10,58,Morning
765,06:01:26,6,1,Morning
766,21:26:38,21,26,Evening
767,07:59:03,7,59,Morning
768,08:56:01,8,56,Morning
769,17:01:53,17,1,Afternoon
770,00:40:02,0,40,Morning
771,17:33:10,17,33,Afternoon
772,14:35:51,14,35,Afternoon
773,03:41:15,3,41,Morning
774,07:49:42,7,49,Morning
775,04:08:35,4,8,Morning
776,00:15:09,0,15,Morning
777,18:18:28,18,18,Evening
778,06:17:00,6,17,Morning
779,09:28:32,9,28,Morning
780,00:40:31,0,40,Morning
781,17:16:15,17,16,Afternoon
782,21:08:41,21,8,Evening
783,08:52:38,8,52,Morning
784,00:28:15,0,28,Morning
785,13:52:12,13,52,Afternoon
786,12:17:05,12,17,Afternoon
787,00:23:23,0,23,Morning
788,23:09:06,23,9,Evening
789,20:39:51,20,39,Evening
790,10:43:56,10,43,Morning
791,03:00:39,3,0,Morning
792,18:12:26,18,12,Evening
793,13:17:09,13,17,Afternoon
794,02:33:50,2,33,Morning
795,14:26:17,14,26,Afternoon
796,11:10:32,11,10,Morning
797,07:07:31,7,7,Morning
798,11:06:03,11,6,Morning
799,21:59:58,21,59,Evening
800,03:48:59,3,48,Morning
801,17:34:54,17,34,Afternoon
802,13:25:56,13,25,Afternoon
803,00:29:49,0,29,Morning
804,05:23:40,5,23,Morning
805,10:26:46,10,26,Morning
806,10:44:00,10,44,Morning
807,12:15:35,12,15,Afternoon
808,10:17:47,10,17,Morning
809,16:13:40,16,13,Afternoon
810,11:04:11,11,4,Morning
811,10:37:42,10,37,Morning
812,16:17:23,16,17,Afternoon
813,05:58:54,5,58,Morning
814,09:07:52,9,7,Morning
815,02:08:09,2,8,Morning
816,23:57:48,23,57,Evening
817,23:58:30,23,58,Evening
818,13:15:34,13,15,Afternoon
819,19:25:30,19,25,Evening
820,06:10:28,6,10,Morning
821,01:47:55,1,47,Morning
822,23:14:54,23,14,Evening
823,04:05:28,4,5,Morning
824,08:12:25,8,12,Morning
825,22:41:26,22,41,Evening
826,17:09:16,17,9,Afternoon
827,10:13:41,10,13,Morning
828,08:30:15,8,30,Morning
829,03:49:06,3,49,Morning
830,00:20:45,0,20,Morning
831,06:54:13,6,54,Morning
832,07:40:32,7,40,Morning
833,03:34:16,3,34,Morning
834,19:37:21,19,37,Evening
835,18:54:09,18,54,Evening
836,16:09:42,16,9,Afternoon
837,00:46:41,0,46,Morning
838,22:03:51,22,3,Evening
839,11:02:29,11,2,Morning
840,15:27:34,15,27,Afternoon
841,19:52:54,19,52,Evening
842,15:23:01,15,23,Afternoon
843,04:11:22,4,11,Morning
844,04:04:08,4,4,Morning
845,00:06:04,0,6,Morning
846,09:36:08,9,36,Morning
847,22:07:26,22,7,Evening
848,20:43:52,20,43,Evening
