Transaction_ID,Invoice_No,Transaction_Date,Transaction_Time,Time_Zone,Transaction_Type,Transaction_Status,Customer_ID,Customer_Type,Customer_Age,Customer_Gender,Loyalty_Points,Product_ID,Product_Name,Company_Name,Product_Category,Brand_Type,Unit_Type,Shelf_Life_Days,Barcode,Supplier_ID,Supplier_Region,Delivery_Status,Transport_Mode,Delivery_Cost,Opening_Stock,Stock_Received,Stock_Sold,Stock_Damaged,Reorder_Level,Cost_Price,Selling_Price,Discount_Percentage,Tax_Percentage,Quantity_Sold,Payment_Method,Payment_Status,Amount_Paid,Outstanding_Debt,Store_ID,Store_Location,Store_Size_SqFt,Daily_Footfall,Staff_On_Duty,Store_Rating,Peak_Hour_Flag,Credit_Allowed,Gross_Sales,Net_Sales
11.0,INV197822,2023-08-03,0 days 09:54:30,EST,Return,Cancelled,30529.0,Occasional,32.0,Female,2227.0,6825.0,Refined Sugar,Madhur,Sweeteners,Local,Litre,45.0,726713738604,755.0,North,Delayed,Van,400.0,127.0,135.0,49.0,3.0,51.0,170.69,232.77,17.04,12.0,2.0,Card,Pending,4666.53,0.0,23.0,Town,4762.0,359.0,3.0,3.7,True,True,465.54,386.21198400000003
12.0,INV853362,2023-11-27,0 days 17:15:47,EST,Sale,Completed,48409.0,Wholesale,46.0,Male,6010.0,2663.0,Bath Soap Herbal,Pears,Personal Care,National,Litre,109.0,791935869243,586.0,East,Cancelled,Bike,400.0,446.0,25.0,42.0,3.0,99.0,64.66,830.37,12.03,12.0,5.0,Card,Paid,125.76,5000.0,2.0,Village,602.0,1083.0,13.0,3.2,False,True,4151.85,3652.3824450000006
13.0,INV342818,2024-04-03,0 days 10:08:06,IST,Sale,Pending,42368.0,Wholesale,63.0,Female,6805.0,1755.0,Basmati Rice Premium,India Gate,Grains,International,Piece,301.0,120668448727,802.0,South,Cancelled,Truck,200.0,340.0,65.0,27.0,0.0,105.0,199.93,252.36,13.1,12.0,6.0,Card,Paid,4381.37,3000.0,22.0,Town,4580.0,1681.0,13.0,2.8,True,False,1514.16,1315.80504
14.0,INV326122,2023-03-29,0 days 18:12:37,EST,Sale,Completed,24371.0,Wholesale,59.0,Female,7024.0,5654.0,Refined Sugar,Madhur,Sweeteners,National,Piece,511.0,338243191721,687.0,South,Delivered,Bike,600.0,225.0,105.0,20.0,2.0,80.0,258.68,241.55,18.14,5.0,4.0,Card,Paid,2473.55,3000.0,22.0,City,2269.0,162.0,7.0,3.6,False,True,966.2,790.93132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,INV814562,2023-04-10,0 days 22:35:35,PST,Sale,Cancelled,13895.0,Wholesale,18.0,Female,4846.0,4695.0,Bath Soap Herbal,Pears,Personal Care,Local,Litre,171.0,285227600406,616.0,West,Delivered,Bike,400.0,285.0,106.0,6.0,3.0,108.0,202.66,261.62,14.02,5.0,6.0,Cash,Pending,973.0,1000.0,27.0,City,1945.0,894.0,21.0,3.5,False,False,1569.72,1349.645256
17.0,INV785999,2024-10-25,0 days 07:18:56,IST,Return,Pending,24453.0,Wholesale,21.0,Male,1339.0,1302.0,Refined Sugar,Madhur,Sweeteners,Local,Piece,663.0,661276840846,755.0,South,Cancelled,Van,200.0,341.0,142.0,29.0,3.0,53.0,75.33,874.21,6.9,12.0,4.0,UPI,Paid,1738.42,3000.0,27.0,Town,898.0,1027.0,13.0,4.1,True,False,3496.84,3255.5580400000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,INV906172,2024-10-23,0 days 09:09:19,IST,Return,Pending,11828.0,Wholesale,53.0,Male,6352.0,8618.0,Potato Chips Salted,Lays,Snacks,Local,Litre,432.0,674157289205,773.0,South,Cancelled,Van,600.0,472.0,121.0,35.0,0.0,71.0,87.36,355.04,10.15,5.0,8.0,Card,Paid,1851.64,1000.0,11.0,Town,1829.0,1084.0,7.0,4.5,False,False,2840.32,2552.02752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,INV268870,2023-12-10,0 days 12:49:42,GMT,Sale,Cancelled,22517.0,Wholesale,49.0,Female,7414.0,2321.0,Potato Chips Salted,Lays,Snacks,National,Kg,311.0,974355229003,721.0,North,Delivered,Bike,600.0,182.0,170.0,23.0,3.0,53.0,79.32,258.62,21.06,12.0,7.0,UPI,Paid,788.46,1000.0,13.0,City,3463.0,1201.0,19.0,4.8,False,True,1810.3400000000001,1429.082396
22.0,INV625986,2024-05-06,0 days 20:35:23,IST,Return,Completed,26943.0,Wholesale,41.0,Male,7686.0,1304.0,Digestive Biscuits,Britannia,Snacks,Local,Litre,246.0,953538211944,695.0,West,Delayed,Truck,200.0,416.0,133.0,29.0,3.0,89.0,62.42,521.83,6.2,12.0,2.0,Card,Pending,696.97,0.0,3.0,Town,4131.0,648.0,6.0,3.8,True,True,1043.66,978.95308
23.0,INV641380,2024-02-18,0 days 15:38:46,EST,Sale,Completed,36831.0,Wholesale,74.0,Male,2678.0,7173.0,Tea Powder Strong,Tata Tea,Beverages,Local,Piece,462.0,309774106279,838.0,South,Delivered,Bike,200.0,121.0,198.0,40.0,2.0,80.0,91.98,287.8,8.63,5.0,1.0,Cash,Paid,3983.03,1000.0,9.0,Town,4915.0,1316.0,15.0,3.0,False,True,287.8,262.96286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,INV738309,2023-07-11,0 days 19:29:58,EST,Return,Pending,18050.0,Occasional,35.0,Male,6686.0,6540.0,Iodized Cooking Salt,Tata Salt,Essentials,International,Kg,409.0,165446332423,696.0,South,Delayed,Van,400.0,51.0,73.0,15.0,0.0,109.0,193.65,229.47,27.69,5.0,1.0,Card,Paid,710.86,1000.0,21.0,Village,3917.0,796.0,20.0,4.3,True,False,229.47,165.929757
26.0,INV783037,2023-10-04,0 days 07:33:17,IST,Return,Cancelled,19663.0,Occasional,32.0,Male,4444.0,1007.0,Tea Powder Strong,Tata Tea,Beverages,National,Litre,523.0,333773880720,637.0,West,Delivered,Truck,200.0,144.0,101.0,35.0,4.0,111.0,262.81,516.57,23.29,18.0,9.0,Cash,Paid,554.46,1000.0,12.0,Town,1870.0,1873.0,7.0,3.1,True,False,4649.13,3566.347623
27.0,INV648706,2023-06-10,0 days 05:45:19,IST,Sale,Pending,16900.0,Regular,37.0,Male,4614.0,2214.0,Sunflower Oil 1L,Fortune,Edible Oils,Local,Kg,334.0,832778363197,804.0,South,Delayed,Van,800.0,88.0,165.0,27.0,2.0,59.0,70.38,709.48,25.8,12.0,8.0,Cash,Pending,1870.47,5000.0,13.0,Town,3915.0,703.0,6.0,3.2,False,True,5675.84,4211.47328
28.0,INV905973,2024-04-04,0 days 06:57:12,PST,Sale,Completed,48355.0,Regular,57.0,Female,7914.0,7520.0,Sunflower Oil 1L,Fortune,Edible Oils,Local,Kg,272.0,312121739511,606.0,West,Cancelled,Bike,400.0,429.0,117.0,12.0,0.0,30.0,147.62,660.44,26.83,5.0,6.0,UPI,Paid,4717.23,5000.0,25.0,Town,2573.0,752.0,7.0,2.7,True,False,3962.6400000000003,2899.4636880000003
29.0,INV457999,2023-11-10,0 days 16:33:44,GMT,Sale,Completed,31796.0,Wholesale,19.0,Female,386.0,1697.0,Milk Chocolate Bar,Cadbury,Confectionery,National,Piece,571.0,683364041961,682.0,East,Delivered,Van,200.0,202.0,36.0,46.0,2.0,105.0,312.76,315.63,6.53,18.0,6.0,UPI,Pending,4409.87,5000.0,9.0,Village,2513.0,857.0,9.0,4.0,False,True,1893.78,1770.116166
30.0,INV569217,2023-01-22,0 days 21:42:57,GMT,Return,Cancelled,25784.0,Occasional,42.0,Male,5400.0,5001.0,Shampoo Anti-Dandruff,Head & Shoulders,Personal Care,International,Piece,598.0,479214286063,542.0,North,Delivered,Van,400.0,83.0,127.0,41.0,0.0,32.0,356.29,228.86,14.52,5.0,6.0,Cash,Paid,1844.14,0.0,23.0,Village,2557.0,166.0,10.0,4.9,False,True,1373.16,1173.777168
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,INV455488,2024-04-19,0 days 15:10:46,IST,Sale,Completed,18396.0,Occasional,30.0,Female,606.0,2923.0,Bath Soap Herbal,Pears,Personal Care,National,Litre,709.0,416016528332,649.0,South,Delayed,Truck,200.0,283.0,172.0,16.0,0.0,58.0,175.62,706.57,17.53,18.0,2.0,Card,Pending,3028.36,3000.0,10.0,Town,3878.0,1319.0,21.0,3.9,True,False,1413.14,1165.4165580000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,INV477819,2024-05-25,0 days 02:22:16,PST,Return,Completed,29984.0,Wholesale,63.0,Male,1917.0,1429.0,Dishwash Liquid,Vim,Home Care,National,Kg,715.0,236964650348,763.0,East,Cancelled,Truck,600.0,71.0,19.0,49.0,0.0,89.0,281.33,750.69,8.75,5.0,9.0,Wallet,Paid,4291.03,5000.0,16.0,Town,791.0,820.0,4.0,3.1,False,True,6756.210000000001,6165.041625000001
36.0,INV753756,2024-11-12,0 days 15:45:47,GMT,Return,Pending,33027.0,Wholesale,32.0,Male,3109.0,6388.0,Bath Soap Herbal,Pears,Personal Care,Local,Piece,486.0,562597631793,881.0,North,Delivered,Truck,800.0,416.0,29.0,17.0,2.0,32.0,305.59,731.62,22.04,5.0,7.0,Card,Paid,417.67,3000.0,6.0,Village,2872.0,1395.0,12.0,2.8,True,True,5121.34,3992.5966640000006
37.0,INV997531,2024-04-20,0 days 12:41:52,IST,Sale,Pending,27597.0,Wholesale,46.0,Female,365.0,4153.0,Milk Chocolate Bar,Cadbury,Confectionery,Local,Kg,239.0,809764817410,502.0,East,Delayed,Bike,800.0,417.0,85.0,25.0,3.0,30.0,70.85,277.41,10.97,12.0,9.0,Card,Pending,539.73,5000.0,24.0,City,691.0,832.0,19.0,3.5,True,False,2496.69,2222.803107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,INV141956,2023-07-09,0 days 19:57:00,IST,Sale,Completed,22026.0,Occasional,61.0,Male,7293.0,8068.0,Milk Chocolate Bar,Cadbury,Confectionery,Local,Kg,116.0,542873880781,552.0,South,Delayed,Van,800.0,491.0,111.0,26.0,2.0,106.0,30.68,90.52,7.94,18.0,2.0,UPI,Paid,526.84,1000.0,6.0,Town,1751.0,1407.0,16.0,3.7,False,False,181.04,166.665424
40.0,INV847385,2024-11-17,0 days 20:39:13,IST,Return,Completed,45859.0,Wholesale,48.0,Female,5891.0,2220.0,Shampoo Anti-Dandruff,Head & Shoulders,Personal Care,National,Litre,471.0,308695627864,645.0,East,Delayed,Truck,800.0,259.0,66.0,47.0,1.0,64.0,262.66,207.86,10.27,5.0,9.0,Wallet,Paid,4338.43,5000.0,14.0,Village,4976.0,774.0,19.0,2.7,False,True,1870.7400000000002,1678.6150020000002
41.0,INV911781,2024-07-16,0 days 23:51:54,GMT,Return,Cancelled,41041.0,Wholesale,40.0,Female,7343.0,4061.0,Digestive Biscuits,Britannia,Snacks,Local,Kg,361.0,378085326817,805.0,North,Cancelled,Van,600.0,463.0,114.0,17.0,1.0,92.0,160.48,445.22,18.5,5.0,9.0,Card,Paid,3102.36,5000.0,16.0,City,2892.0,1283.0,22.0,4.2,False,False,4006.9800000000005,3265.6887
,,2024-07-20,,GMT,,,40987.0,Occasional,,,,,,India Gate,,International,Litre,,,,,,,200.0,112.0,176.0,,,,,,20.68,,,,Paid,,1000.0,,Village,1573.0,,,3.4,True,True,,
43.0,INV506463,2023-09-01,0 days 04:45:27,IST,Return,Pending,13498.0,Occasional,20.0,Male,984.0,6950.0,Refined Sugar,Madhur,Sweeteners,Local,Litre,355.0,304340009825,649.0,South,Delivered,Truck,200.0,303.0,107.0,38.0,1.0,93.0,53.38,346.92,5.41,12.0,2.0,UPI,Paid,4253.67,1000.0,19.0,City,2859.0,120.0,10.0,4.9,True,False,693.84,656.303256
44.0,INV350725,2024-05-19,0 days 23:11:28,EST,Sale,Pending,42256.0,Regular,67.0,Female,1124.0,4941.0,Instant Coffee,Bru,Beverages,National,Litre,226.0,807872656453,860.0,West,Cancelled,Truck,400.0,144.0,134.0,45.0,0.0,114.0,32.33,308.75,5.22,5.0,2.0,Wallet,Pending,2628.01,1000.0,17.0,City,3034.0,748.0,24.0,5.0,True,False,617.5,585.2665
45.0,INV318964,2023-05-11,0 days 03:12:19,PST,Sale,Completed,24905.0,Wholesale,52.0,Female,7996.0,4122.0,Sunflower Oil 1L,Fortune,Edible Oils,International,Litre,116.0,231340976587,562.0,East,Delivered,Bike,600.0,420.0,81.0,12.0,1.0,59.0,167.14,171.69,27.55,12.0,7.0,UPI,Pending,4812.35,1000.0,21.0,Village,3679.0,1735.0,18.0,4.1,True,False,1201.83,870.7258349999998
46.0,INV740037,2024-04-29,0 days 12:59:21,GMT,Sale,Completed,48274.0,Wholesale,31.0,Male,490.0,1302.0,Refined Sugar,Madhur,Sweeteners,Local,Piece,207.0,838593389858,614.0,West,Cancelled,Truck,800.0,61.0,59.0,13.0,2.0,114.0,282.26,67.85,9.19,12.0,8.0,Wallet,Pending,645.71,1000.0,4.0,City,1993.0,1964.0,11.0,4.0,False,False,542.8,492.91668
47.0,INV736356,2024-10-08,0 days 12:50:19,GMT,Return,Completed,34839.0,Wholesale,19.0,Female,6336.0,8510.0,Sunflower Oil 1L,Fortune,Edible Oils,National,Piece,620.0,242802423323,706.0,West,Delivered,Van,800.0,443.0,198.0,6.0,0.0,72.0,36.66,340.65,18.93,12.0,9.0,Wallet,Paid,2515.72,0.0,1.0,City,3376.0,560.0,20.0,3.9,False,False,3065.85,2485.484595
48.0,INV178641,2023-01-21,0 days 04:04:52,EST,Return,Cancelled,12137.0,Occasional,67.0,Female,6224.0,3078.0,Instant Coffee,Bru,Beverages,National,Kg,573.0,146003687609,635.0,North,Delayed,Van,600.0,423.0,48.0,9.0,3.0,40.0,35.76,120.15,1.04,5.0,4.0,Cash,Paid,4833.27,3000.0,10.0,Town,1365.0,1190.0,24.0,3.7,False,False,480.6,475.60176
,,2023-06-16,,GMT,,,25946.0,Occasional,,,,,,Colgate,,Local,Piece,,,,,,,800.0,367.0,44.0,,,,,,29.13,,,,,,,,Town,2343.0,,,,True,True,,
50.0,INV694438,2023-10-01,0 days 03:42:14,EST,Return,Completed,34508.0,Regular,19.0,Male,5574.0,9733.0,Tea Powder Strong,Tata Tea,Beverages,International,Litre,605.0,903358876126,572.0,East,Delivered,Truck,400.0,299.0,79.0,22.0,4.0,94.0,378.61,191.93,27.0,5.0,5.0,Card,Pending,3954.83,5000.0,1.0,City,4061.0,1258.0,13.0,4.0,True,False,959.6500000000001,700.5445000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,INV621690,2024-08-23,0 days 02:11:43,IST,Sale,Pending,24823.0,Wholesale,44.0,Female,3644.0,5783.0,Refined Sugar,Madhur,Sweeteners,National,Litre,262.0,247724192259,827.0,East,Cancelled,Truck,800.0,177.0,157.0,26.0,2.0,31.0,128.94,180.36,1.34,12.0,4.0,Cash,Paid,4319.19,0.0,24.0,Village,4842.0,915.0,19.0,3.6,True,True,721.44,711.7727040000001
53.0,INV202137,2023-11-12,0 days 07:55:27,GMT,Return,Cancelled,46633.0,Regular,51.0,Male,4224.0,7886.0,Instant Coffee,Bru,Beverages,International,Piece,185.0,340368789165,724.0,North,Delayed,Bike,400.0,213.0,93.0,34.0,3.0,61.0,68.01,62.83,24.61,12.0,6.0,Card,Paid,4251.77,1000.0,14.0,Village,5385.0,1646.0,12.0,4.8,True,False,376.98,284.205222
54.0,INV943816,2023-01-14,0 days 04:20:29,PST,Sale,Completed,15460.0,Occasional,57.0,Male,7173.0,6479.0,Instant Noodles Pack,Maggi,Packaged Food,Local,Kg,400.0,731843864063,612.0,West,Cancelled,Truck,200.0,489.0,154.0,4.0,0.0,87.0,66.01,357.78,12.09,12.0,3.0,Cash,Pending,3284.6,5000.0,7.0,City,1015.0,1621.0,16.0,4.8,True,False,1073.34,943.573194
55.0,INV115667,2023-08-30,0 days 16:06:48,EST,Return,Cancelled,47264.0,Regular,22.0,Male,4070.0,3479.0,Toothpaste Gel,Colgate,Personal Care,Local,Kg,237.0,812976672911,514.0,West,Cancelled,Truck,600.0,183.0,17.0,2.0,3.0,111.0,157.71,770.13,4.18,12.0,1.0,Cash,Pending,915.29,0.0,24.0,Town,3643.0,458.0,17.0,4.9,True,False,770.13,737.938566
56.0,INV249550,2023-12-12,0 days 23:07:56,PST,Sale,Completed,49666.0,Regular,42.0,Female,2026.0,4000.0,Shampoo Anti-Dandruff,Head & Shoulders,Personal Care,Local,Litre,324.0,886881838614,898.0,East,Cancelled,Van,200.0,208.0,13.0,36.0,1.0,110.0,83.12,335.45,7.77,18.0,1.0,Cash,Pending,511.36,1000.0,28.0,Village,3091.0,495.0,11.0,4.4,True,False,335.45,309.385535
57.0,INV903541,2024-07-18,0 days 07:25:08,IST,Return,Completed,45314.0,Occasional,28.0,Male,7625.0,9510.0,Wheat Flour Select,Aashirvaad,Grains,Local,Litre,509.0,115875161736,860.0,South,Delayed,Bike,400.0,405.0,53.0,13.0,2.0,69.0,114.94,812.02,9.35,12.0,6.0,Card,Paid,3517.42,5000.0,17.0,City,2759.0,1211.0,18.0,3.5,True,False,4872.12,4416.576779999999
58.0,INV424578,2023-12-06,0 days 03:01:00,GMT,Return,Pending,47697.0,Wholesale,30.0,Male,20.0,8427.0,Digestive Biscuits,Britannia,Snacks,International,Piece,170.0,217739466807,762.0,South,Delivered,Bike,600.0,466.0,16.0,37.0,4.0,80.0,162.77,631.21,11.82,5.0,8.0,UPI,Pending,1813.01,0.0,16.0,Town,3324.0,1881.0,24.0,3.9,True,False,5049.68,4452.807824
,,2023-04-02,,IST,,Pending,22722.0,Wholesale,,,,,,Aashirvaad,Grains,National,Piece,,,,,Delivered,,400.0,379.0,176.0,9.0,4.0,,,,26.93,,8.0,,Paid,,5000.0,13.0,Village,3955.0,503.0,,4.2,True,True,4243.04,
60.0,INV936116,2024-01-02,0 days 18:41:40,IST,Return,Pending,34694.0,Regular,38.0,Female,6994.0,2360.0,Dishwash Liquid,Vim,Home Care,Local,Litre,232.0,256538993048,609.0,West,Cancelled,Truck,800.0,240.0,138.0,8.0,2.0,86.0,52.88,370.47,24.78,18.0,9.0,UPI,Pending,573.3,0.0,23.0,Town,4988.0,1747.0,7.0,3.1,False,True,3334.2300000000005,2508.007806
61.0,INV919405,2024-03-30,0 days 19:52:25,PST,Return,Completed,17214.0,Occasional,66.0,Male,27.0,4818.0,Iodized Cooking Salt,Tata Salt,Essentials,National,Kg,362.0,895200256482,820.0,East,Cancelled,Bike,200.0,215.0,134.0,33.0,4.0,65.0,354.46,798.95,17.4,5.0,5.0,UPI,Pending,3567.44,0.0,1.0,Village,3690.0,724.0,19.0,3.2,True,True,3994.75,3299.6635
,,2024-03-03,,PST,,Pending,41911.0,Occasional,,,,,,Colgate,,National,Kg,,,,,,,800.0,75.0,30.0,,,,,,7.1,,6.0,,Pending,,5000.0,,City,3963.0,,,3.0,True,False,,
63.0,INV623147,2024-05-23,0 days 16:43:33,EST,Return,Completed,23310.0,Regular,65.0,Male,5018.0,9955.0,Bath Soap Herbal,Pears,Personal Care,International,Litre,340.0,458066084090,625.0,West,Delivered,Van,800.0,65.0,59.0,33.0,4.0,77.0,372.62,614.38,23.97,18.0,6.0,UPI,Paid,1494.62,0.0,13.0,Town,5095.0,992.0,24.0,3.6,True,True,3686.2799999999997,2802.6786839999995
64.0,INV198685,2023-02-04,0 days 11:46:12,GMT,Sale,Cancelled,45163.0,Wholesale,68.0,Male,3563.0,6006.0,Toothpaste Gel,Colgate,Personal Care,National,Kg,404.0,555168822888,847.0,West,Delivered,Truck,400.0,457.0,64.0,17.0,1.0,86.0,122.7,545.61,19.91,18.0,1.0,Card,Pending,4795.65,5000.0,8.0,City,571.0,1476.0,21.0,4.7,True,False,545.61,436.979049
65.0,INV576900,2023-07-25,0 days 19:08:26,IST,Sale,Cancelled,34055.0,Wholesale,43.0,Female,7071.0,5996.0,Milk Chocolate Bar,Cadbury,Confectionery,Local,Litre,68.0,823181115653,508.0,West,Cancelled,Bike,400.0,282.0,44.0,35.0,0.0,34.0,123.14,297.6,24.15,12.0,3.0,Cash,Paid,3410.45,3000.0,28.0,Village,4401.0,209.0,17.0,3.6,True,True,892.8000000000001,677.1888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,INV277961,2024-07-15,0 days 15:57:22,EST,Return,Pending,37943.0,Occasional,43.0,Female,4928.0,9215.0,Refined Sugar,Madhur,Sweeteners,Local,Kg,79.0,586512697879,870.0,West,Delivered,Van,800.0,122.0,199.0,45.0,4.0,48.0,224.13,264.64,14.42,18.0,9.0,Card,Pending,2321.96,1000.0,18.0,Town,2762.0,700.0,12.0,3.0,False,True,2381.7599999999998,2038.3102079999999
68.0,INV409967,2024-01-23,0 days 23:53:10,IST,Sale,Pending,41917.0,Occasional,32.0,Male,1453.0,2025.0,Basmati Rice Premium,India Gate,Grains,Local,Kg,96.0,321891409694,504.0,South,Delayed,Van,800.0,458.0,148.0,48.0,1.0,119.0,133.35,113.57,5.31,5.0,6.0,UPI,Pending,1073.66,1000.0,12.0,Village,3072.0,1106.0,13.0,2.7,False,False,681.42,645.236598
,,2023-01-02,,IST,,,11702.0,Occasional,,,,,,Tata Tea,,Local,Litre,,,,,,,200.0,328.0,107.0,,,,,,14.56,,,,,,,,City,5019.0,,,,True,True,,
70.0,INV171472,2024-01-25,0 days 12:31:57,EST,Return,Completed,30058.0,Wholesale,23.0,Male,2471.0,2187.0,Instant Coffee,Bru,Beverages,National,Piece,162.0,323965001607,773.0,South,Delivered,Truck,400.0,487.0,138.0,4.0,1.0,80.0,393.36,58.01,29.59,5.0,5.0,Wallet,Pending,3156.76,1000.0,13.0,Town,4818.0,1853.0,9.0,4.5,True,False,290.05,204.22420499999998
71.0,,2024-07-19,0 days 14:39:32,IST,Return,Completed,24537.0,Regular,,Female,,,,Madhur,Sweeteners,International,Kg,382.0,,552.0,South,Delayed,Van,200.0,372.0,64.0,9.0,2.0,,346.73,407.51,16.73,,9.0,Wallet,Pending,155.99,0.0,9.0,City,3504.0,247.0,,2.6,True,True,3667.59,
72.0,INV704516,2023-04-16,0 days 00:53:10,IST,Sale,Completed,22259.0,Occasional,21.0,Female,5256.0,6470.0,Iodized Cooking Salt,Tata Salt,Essentials,National,Kg,411.0,829915798402,719.0,North,Delayed,Bike,200.0,81.0,96.0,3.0,2.0,35.0,113.5,672.85,6.28,18.0,8.0,Wallet,Paid,2060.88,3000.0,26.0,Town,1493.0,604.0,16.0,4.3,False,True,5382.8,5044.760160000001
73.0,INV480977,2024-04-21,0 days 13:21:53,PST,Return,Cancelled,25892.0,Occasional,47.0,Female,2129.0,2117.0,Instant Noodles Pack,Maggi,Packaged Food,International,Piece,628.0,637913594795,696.0,West,Cancelled,Bike,600.0,251.0,129.0,16.0,3.0,78.0,48.39,313.5,6.29,18.0,8.0,UPI,Pending,3765.35,0.0,29.0,Village,5196.0,110.0,3.0,4.1,False,False,2508.0,2350.2468
